league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
LPL,0,159,1,40,3,6.67,4,2,15,16.7,41.7,7,94,9
BPL,2,176,2,67,1,11.17,9,2,20,30.6,55.6,9,202,5
BPL,1,180,1,22,6,3.67,3,1,22,11.1,61.1,4,47,10
IPL,1,143,2,61,0,10.17,8,1,22,25.0,61.1,10,215,6
CPL,1,181,1,43,2,7.17,5,0,15,13.9,41.7,8,115,6
SA20,2,178,2,43,4,7.17,3,1,22,11.1,61.1,6,113,6
Super Smash,0,167,1,39,3,6.5,3,2,20,13.9,55.6,7,98,8
CPL,1,140,2,62,1,10.33,5,3,19,22.2,52.8,9,184,3
SA20,0,167,1,49,0,8.17,6,3,21,25.0,58.3,10,132,5
BPL,0,175,2,60,2,10.0,8,1,20,25.0,55.6,8,146,6
PSL,1,150,1,30,4,5.0,4,0,18,11.1,50.0,6,67,7
BPL,2,173,2,23,6,3.83,3,0,15,8.3,41.7,4,61,8
BBL,1,181,1,33,3,5.5,2,1,17,8.3,47.2,7,112,9
CPL,2,143,2,42,2,7.0,4,0,18,11.1,50.0,8,115,4
Super Smash,1,165,1,44,2,7.33,6,2,22,22.2,61.1,8,112,7
Super Smash,2,150,2,24,4,4.0,3,0,21,8.3,58.3,6,58,10
Super Smash,1,170,1,42,3,7.0,3,0,21,8.3,58.3,7,117,6
BBL,0,144,2,38,4,6.33,3,1,13,11.1,36.1,6,94,9
T20 World Cup,2,157,1,59,2,9.83,6,2,16,22.2,44.4,8,172,8
SA20,1,172,2,60,1,10.0,6,0,18,16.7,50.0,9,181,6
T20 Blast,1,160,1,52,2,8.67,7,3,20,27.8,55.6,8,133,4
IPL,1,148,2,58,0,9.67,5,2,21,19.4,58.3,10,200,3
LPL,0,142,1,50,2,8.33,7,2,18,25.0,50.0,8,131,5
ILT20,2,155,2,52,2,8.67,5,0,17,13.9,47.2,8,162,8
PSL,2,160,1,40,2,6.67,4,1,18,13.9,50.0,8,111,7
ILT20,1,149,2,35,2,5.83,5,1,21,16.7,58.3,8,118,7
T20I,1,152,1,22,5,3.67,2,0,20,5.6,55.6,5,57,10
MLC,2,140,2,57,1,9.5,4,0,22,11.1,61.1,9,182,3
PSL,1,142,1,50,3,8.33,4,2,14,16.7,38.9,7,123,7
ILT20,1,138,2,51,4,8.5,5,0,21,13.9,58.3,6,133,9
SA20,1,149,1,23,5,3.83,3,1,21,11.1,58.3,5,70,10
T20I,0,173,2,49,2,8.17,4,2,16,16.7,44.4,8,134,5
T20 World Cup,0,151,1,50,1,8.33,6,1,18,19.4,50.0,9,129,3
T20 World Cup,1,169,2,55,3,9.17,7,1,13,22.2,36.1,7,164,9
SA20,2,143,1,50,1,8.33,4,0,21,11.1,58.3,9,148,5
SA20,0,138,2,66,0,11.0,7,2,19,25.0,52.8,10,192,2
PSL,2,176,1,43,2,7.17,3,0,20,8.3,55.6,8,118,4
PSL,2,150,2,32,3,5.33,2,0,12,5.6,33.3,7,102,7
LPL,1,176,1,46,1,7.67,3,1,19,11.1,52.8,9,138,4
ILT20,1,169,2,44,3,7.33,5,2,13,19.4,36.1,7,128,7
Super Smash,0,138,1,33,4,5.5,3,1,22,11.1,61.1,6,77,6
T20 World Cup,2,155,2,46,3,7.67,4,2,14,16.7,38.9,7,145,5
LPL,1,175,1,21,5,3.5,2,0,21,5.6,58.3,5,52,10
T20 World Cup,1,154,2,57,2,9.5,7,2,18,25.0,50.0,8,178,7
BPL,0,142,1,27,4,4.5,3,1,16,11.1,44.4,6,74,6
BPL,2,170,2,70,0,11.67,10,1,22,30.6,61.1,10,216,5
T20 World Cup,1,155,1,71,2,11.83,8,2,17,27.8,47.2,8,213,6
MLC,2,179,2,56,2,9.33,5,1,17,16.7,47.2,8,166,5
CPL,1,145,1,28,3,4.67,2,1,19,8.3,52.8,7,62,6
ILT20,2,171,2,35,4,5.83,3,0,22,8.3,61.1,6,97,6
IPL,2,158,1,64,1,10.67,5,2,16,19.4,44.4,9,224,7
T20 World Cup,0,159,2,48,1,8.0,4,1,18,13.9,50.0,9,129,6
T20 Blast,1,177,1,12,6,2.0,1,0,22,2.8,61.1,4,27,10
PSL,1,179,2,31,2,5.17,2,1,21,8.3,58.3,8,82,6
MLC,1,160,1,51,1,8.5,4,0,21,11.1,58.3,9,145,5
T20I,0,170,2,47,2,7.83,4,0,20,11.1,55.6,8,121,4
BBL,1,164,1,54,1,9.0,7,2,16,25.0,44.4,9,170,3
LPL,0,165,2,47,2,7.83,3,0,16,8.3,44.4,8,128,4
LPL,1,163,1,51,2,8.5,7,2,16,25.0,44.4,8,126,5
BBL,1,139,2,35,4,5.83,5,0,16,13.9,44.4,6,114,8
ILT20,2,155,1,53,2,8.83,6,1,15,19.4,41.7,8,169,4
ILT20,1,174,2,60,1,10.0,8,3,17,30.6,47.2,9,186,7
IPL,1,154,1,39,5,6.5,3,2,17,13.9,47.2,5,122,10
BPL,2,161,2,33,1,5.5,3,0,21,8.3,58.3,9,65,4
ILT20,1,174,1,22,5,3.67,1,1,8,5.6,22.2,5,70,7
