league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_extras,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
LPL,0,159,1,40,3,6.67,4,2,15,6,16.7,41.7,7,94,7
LPL,2,141,2,35,3,5.83,2,1,18,6,8.3,50.0,7,113,8
PSL,1,181,1,67,1,11.17,9,3,20,2,33.3,55.6,9,187,4
IPL,1,160,2,60,2,10.0,8,3,18,2,30.6,50.0,8,199,8
IPL,1,172,1,56,1,9.33,6,3,17,6,25.0,47.2,9,195,4
IPL,2,140,2,60,0,10.0,6,3,21,5,25.0,58.3,10,222,5
IPL,0,176,1,48,3,8.0,5,0,21,1,13.9,58.3,7,147,6
LPL,1,157,2,43,2,7.17,3,1,14,5,11.1,38.9,8,117,6
MLC,0,167,1,30,1,5.0,3,0,21,5,8.3,58.3,9,76,6
MLC,0,157,2,46,1,7.67,4,2,17,4,16.7,47.2,9,127,3
BPL,1,169,1,50,4,8.33,6,1,20,2,19.4,55.6,6,125,6
MLC,2,146,2,32,3,5.33,4,0,16,3,11.1,44.4,7,107,9
CPL,1,143,1,40,2,6.67,4,0,18,0,11.1,50.0,8,104,8
T20 World Cup,2,176,2,39,2,6.5,4,2,20,3,16.7,55.6,8,113,6
CPL,1,177,1,41,1,6.83,5,2,18,3,19.4,50.0,9,97,4
MLC,2,165,2,41,2,6.83,4,0,16,1,11.1,44.4,8,142,4
IPL,1,162,1,40,4,6.67,4,1,21,3,13.9,58.3,6,130,8
T20 World Cup,0,149,2,30,4,5.0,4,0,12,1,11.1,33.3,6,85,8
BPL,2,166,1,31,5,5.17,4,0,10,0,11.1,27.8,5,58,10
PSL,1,150,2,47,1,7.83,3,2,19,1,13.9,52.8,9,152,5
IPL,1,140,1,60,1,10.0,8,0,22,4,22.2,61.1,9,193,7
SA20,1,159,2,50,2,8.33,5,1,15,2,16.7,41.7,8,148,8
PSL,0,160,1,33,2,5.5,3,1,18,5,11.1,50.0,8,77,6
SA20,2,148,2,47,1,7.83,4,2,20,2,16.7,55.6,9,153,4
